epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,4663.63,0.89551,0.46638,0.8641,0.91218,0.88909,0.94665,0.70977,0.7888,0.78298,0.7816,0.000364863,0.000364863,0.000364863
107,4707.04,0.89546,0.46151,0.86405,0.91118,0.89872,0.95155,0.7269,0.76464,0.39304,0.77648,0.000362547,0.000362547,0.000362547
108,4752.42,0.89455,0.46696,0.86607,0.90069,0.88504,0.94153,0.71489,0.75934,0.53921,0.7753,0.00036022,0.00036022,0.00036022
109,4795.83,0.90361,0.4668,0.86492,0.91586,0.89024,0.95091,0.73112,0.74565,0.50406,0.77251,0.00035788,0.00035788,0.00035788
110,4840.75,0.88936,0.46008,0.86525,0.91949,0.89266,0.94807,0.72248,0.76655,0.46261,0.77505,0.000355529,0.000355529,0.000355529
111,4884.04,0.91343,0.47315,0.87085,0.91212,0.90076,0.95166,0.72233,0.76714,0.40133,0.77587,0.000353167,0.000353167,0.000353167
112,4926.89,0.88321,0.45587,0.86043,0.90975,0.90468,0.95001,0.72176,0.76034,0.43062,0.77339,0.000350794,0.000350794,0.000350794
113,4970.42,0.90091,0.45718,0.86641,0.90103,0.9056,0.95331,0.73363,0.73968,0.38646,0.77303,0.00034841,0.00034841,0.00034841
114,5015.43,0.9054,0.4664,0.86434,0.89823,0.89885,0.95094,0.72934,0.74221,0.43513,0.77153,0.000346016,0.000346016,0.000346016
115,5059.44,0.87803,0.45402,0.86144,0.92021,0.90151,0.95334,0.73272,0.74052,0.38539,0.77219,0.000343611,0.000343611,0.000343611
116,5102.83,0.88849,0.45488,0.8628,0.90927,0.90088,0.94867,0.72461,0.75765,0.38831,0.77447,0.000341196,0.000341196,0.000341196
117,5146.96,0.88973,0.45902,0.86006,0.90021,0.90412,0.95016,0.72598,0.75579,0.38896,0.77403,0.000338772,0.000338772,0.000338772
118,5190.77,0.87396,0.44682,0.86145,0.91236,0.91236,0.95631,0.72784,0.76425,0.38806,0.7749,0.000336338,0.000336338,0.000336338
119,5234.96,0.8926,0.45167,0.86313,0.91413,0.89577,0.95306,0.72666,0.75492,0.43329,0.77281,0.000333894,0.000333894,0.000333894
120,5278.68,0.88752,0.44696,0.85922,0.91134,0.91291,0.95751,0.7347,0.74151,0.38528,0.77084,0.000331442,0.000331442,0.000331442
121,5323.67,0.89489,0.44996,0.86079,0.91075,0.90786,0.95276,0.73315,0.73808,0.38377,0.76914,0.000328982,0.000328982,0.000328982
122,5367.05,0.88221,0.44655,0.85871,0.91758,0.90687,0.95578,0.73707,0.73453,0.41157,0.76978,0.000326513,0.000326513,0.000326513
123,5412.17,0.89146,0.45067,0.86209,0.91159,0.91095,0.95635,0.73665,0.74958,0.4379,0.77226,0.000324035,0.000324035,0.000324035
124,5455.28,0.87201,0.44163,0.85761,0.92245,0.90609,0.95426,0.7322,0.74897,0.38653,0.7714,0.00032155,0.00032155,0.00032155
125,5499.08,0.87935,0.44297,0.85877,0.9045,0.91332,0.95743,0.73814,0.74331,0.37505,0.77093,0.000319058,0.000319058,0.000319058
126,5543.61,0.86893,0.44491,0.86069,0.91703,0.90848,0.95646,0.73287,0.75333,0.37393,0.77318,0.000316558,0.000316558,0.000316558
127,5587.47,0.89281,0.45509,0.86324,0.90322,0.89944,0.95096,0.7257,0.75361,0.38754,0.77276,0.000314051,0.000314051,0.000314051
128,5630.8,0.88083,0.45183,0.86241,0.91223,0.89162,0.94867,0.7301,0.73198,0.52376,0.76959,0.000311537,0.000311537,0.000311537
129,5674.36,0.89582,0.45679,0.86182,0.90648,0.90829,0.94964,0.73114,0.74358,0.37814,0.77185,0.000309017,0.000309017,0.000309017
130,5717.77,0.88203,0.44401,0.86039,0.91337,0.89852,0.95101,0.73082,0.74266,0.37947,0.77044,0.00030649,0.00030649,0.00030649
131,5760.64,0.86643,0.43695,0.8604,0.90687,0.90957,0.95703,0.73494,0.75201,0.37795,0.77339,0.000303958,0.000303958,0.000303958
132,5804.29,0.86193,0.43564,0.85873,0.91189,0.91728,0.95719,0.74413,0.72709,0.36913,0.76783,0.00030142,0.00030142,0.00030142
133,5848.98,0.88364,0.44548,0.85919,0.91942,0.90534,0.95579,0.73965,0.73662,0.38356,0.76896,0.000298877,0.000298877,0.000298877
134,5892.37,0.87077,0.43719,0.85692,0.91136,0.9067,0.95528,0.7414,0.73052,0.38505,0.76788,0.000296328,0.000296328,0.000296328
135,5935.61,0.86923,0.43658,0.85817,0.90635,0.90283,0.95291,0.73757,0.73638,0.39547,0.7688,0.000293775,0.000293775,0.000293775
136,5978.9,0.86401,0.43353,0.85722,0.93431,0.89729,0.95868,0.74054,0.74416,0.37494,0.77001,0.000291218,0.000291218,0.000291218
137,6022,0.87363,0.43651,0.86074,0.90844,0.92536,0.96205,0.74095,0.748,0.41501,0.77103,0.000288656,0.000288656,0.000288656
138,6064.78,0.88261,0.43807,0.86037,0.92294,0.90658,0.95973,0.73744,0.745,0.46893,0.77086,0.00028609,0.00028609,0.00028609
139,6107.93,0.8745,0.43471,0.85911,0.93102,0.89614,0.95943,0.74101,0.73439,0.37185,0.76855,0.00028352,0.00028352,0.00028352
140,6151.24,0.86346,0.43066,0.85597,0.93763,0.90751,0.96192,0.74861,0.73019,0.38443,0.76705,0.000280947,0.000280947,0.000280947
141,6196.43,0.86767,0.42755,0.85703,0.91823,0.91643,0.962,0.74641,0.72884,0.37593,0.76821,0.000278371,0.000278371,0.000278371
142,6239.78,0.8703,0.43077,0.85867,0.93444,0.91091,0.96549,0.7481,0.74025,0.36914,0.76921,0.000275792,0.000275792,0.000275792
143,6283.21,0.8716,0.42962,0.85758,0.93605,0.90356,0.96378,0.74713,0.73442,0.36537,0.76872,0.00027321,0.00027321,0.00027321
144,6326.29,0.85404,0.4232,0.85581,0.92148,0.905,0.96091,0.74664,0.73149,0.41852,0.76836,0.000270626,0.000270626,0.000270626
145,6369.46,0.87294,0.43004,0.85716,0.93135,0.9058,0.96378,0.7507,0.72216,0.35568,0.76679,0.000268041,0.000268041,0.000268041
146,6414.56,0.86447,0.42672,0.85729,0.90966,0.92501,0.96403,0.74714,0.73346,0.39311,0.76793,0.000265453,0.000265453,0.000265453
147,6457.72,0.86672,0.42679,0.85756,0.92184,0.91416,0.96054,0.74581,0.72852,0.40381,0.76709,0.000262864,0.000262864,0.000262864
148,6500.75,0.85503,0.42855,0.85563,0.92851,0.90247,0.96298,0.74821,0.72538,0.44072,0.76624,0.000260274,0.000260274,0.000260274
149,6544.42,0.85335,0.4266,0.85417,0.91307,0.92245,0.96341,0.75065,0.73053,0.36635,0.7675,0.000257683,0.000257683,0.000257683
150,6587.57,0.86417,0.42944,0.85627,0.91356,0.9148,0.95515,0.73372,0.74479,0.39374,0.7697,0.000255092,0.000255092,0.000255092
151,6630.62,0.86558,0.4315,0.85722,0.91931,0.90788,0.95836,0.74147,0.73984,0.60973,0.76959,0.0002525,0.0002525,0.0002525
152,6674.06,0.86046,0.42388,0.85584,0.92487,0.92417,0.96487,0.75574,0.7144,0.3536,0.76421,0.000249908,0.000249908,0.000249908
153,6718.81,0.84933,0.41863,0.85616,0.92422,0.9189,0.96521,0.75096,0.72071,0.3664,0.76522,0.000247317,0.000247317,0.000247317
154,6761.88,0.84201,0.41374,0.85566,0.92067,0.92371,0.96333,0.75069,0.72266,0.40327,0.76578,0.000244726,0.000244726,0.000244726
155,6805.01,0.84224,0.41656,0.85342,0.91577,0.92168,0.96133,0.74894,0.72336,0.37237,0.76563,0.000242136,0.000242136,0.000242136
156,6848.84,0.85157,0.41873,0.85206,0.93668,0.91075,0.96666,0.74901,0.73075,0.37911,0.7666,0.000239547,0.000239547,0.000239547
157,6892.95,0.85954,0.41863,0.85419,0.92749,0.92509,0.96716,0.75511,0.72295,0.36008,0.76594,0.000236959,0.000236959,0.000236959
158,6936.58,0.85149,0.42082,0.85753,0.93588,0.91243,0.96363,0.74908,0.72587,0.39781,0.7661,0.000234374,0.000234374,0.000234374
159,6980.11,0.85143,0.4138,0.85444,0.9222,0.92651,0.96408,0.74932,0.72882,0.39495,0.76809,0.00023179,0.00023179,0.00023179
160,7023.66,0.85303,0.41355,0.85496,0.92644,0.92022,0.96468,0.75375,0.72091,0.36076,0.76583,0.000229208,0.000229208,0.000229208
161,7067.43,0.85866,0.41745,0.85686,0.93616,0.92112,0.96701,0.75438,0.7215,0.3566,0.76526,0.000226629,0.000226629,0.000226629
162,7110.54,0.84851,0.41117,0.8534,0.93704,0.92383,0.96713,0.75431,0.72513,0.43608,0.76669,0.000224053,0.000224053,0.000224053
163,7153.73,0.84959,0.41259,0.85382,0.94029,0.91676,0.96535,0.75525,0.71485,0.36199,0.76398,0.00022148,0.00022148,0.00022148
164,7197.2,0.84639,0.4126,0.8541,0.94452,0.91254,0.96651,0.75494,0.71868,0.35306,0.76536,0.00021891,0.00021891,0.00021891
165,7240.42,0.84123,0.41014,0.8545,0.93279,0.9146,0.96392,0.75291,0.72053,0.45737,0.76603,0.000216344,0.000216344,0.000216344
166,7284.15,0.82784,0.4072,0.84879,0.93442,0.92117,0.96372,0.75448,0.71412,0.61047,0.7635,0.000213782,0.000213782,0.000213782
167,7327.59,0.84569,0.40934,0.85432,0.92856,0.9218,0.96666,0.75806,0.70851,0.48348,0.76326,0.000211225,0.000211225,0.000211225
168,7372.32,0.83881,0.40993,0.85436,0.93783,0.92182,0.96674,0.75856,0.71221,0.35277,0.76384,0.000208672,0.000208672,0.000208672
169,7417.69,0.8368,0.40883,0.84907,0.93311,0.92533,0.96901,0.75843,0.71809,0.43354,0.76414,0.000206123,0.000206123,0.000206123
170,7461.12,0.82931,0.4041,0.85154,0.94031,0.91681,0.96921,0.75975,0.7144,0.37832,0.76414,0.00020358,0.00020358,0.00020358
171,7505.98,0.83063,0.40704,0.85043,0.93836,0.91685,0.96584,0.75465,0.71308,0.3482,0.7631,0.000201042,0.000201042,0.000201042
172,7549.97,0.82971,0.40741,0.8506,0.92633,0.92695,0.96439,0.75649,0.71233,0.34755,0.76323,0.00019851,0.00019851,0.00019851
173,7593.67,0.83953,0.41073,0.85139,0.93799,0.91466,0.96463,0.75653,0.71049,0.35397,0.76338,0.000195983,0.000195983,0.000195983
174,7637.39,0.83281,0.40392,0.84931,0.93859,0.92385,0.96829,0.75838,0.71641,0.36991,0.76414,0.000193463,0.000193463,0.000193463
175,7680.83,0.82897,0.40172,0.85064,0.94732,0.92415,0.96992,0.763,0.7,0.47391,0.76166,0.000190949,0.000190949,0.000190949
176,7725.98,0.83018,0.40219,0.85141,0.94001,0.92408,0.96982,0.75922,0.70865,0.43886,0.76294,0.000188442,0.000188442,0.000188442
177,7769.34,0.83763,0.40667,0.84872,0.93195,0.91936,0.96712,0.7606,0.70517,0.38454,0.76197,0.000185942,0.000185942,0.000185942
178,7812.82,0.81793,0.39845,0.84929,0.92383,0.92883,0.96622,0.75818,0.70777,0.34764,0.76292,0.00018345,0.00018345,0.00018345
179,7856.29,0.82393,0.39684,0.84819,0.94229,0.92103,0.96852,0.7591,0.70979,0.3868,0.76239,0.000180965,0.000180965,0.000180965
180,7899.44,0.83971,0.40397,0.85109,0.92929,0.93573,0.96916,0.76058,0.70608,0.49795,0.76165,0.000178487,0.000178487,0.000178487
181,7943.03,0.82651,0.39793,0.84848,0.94072,0.92674,0.96849,0.76382,0.70182,0.34908,0.76144,0.000176018,0.000176018,0.000176018
