epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,7505.71,0.74894,0.35077,0.83046,0.94895,0.94436,0.97453,0.78438,0.61819,0.29201,0.70684,0.0004555,0.0004555,0.0004555
167,7552.49,0.75874,0.35268,0.83091,0.94254,0.94637,0.97631,0.78157,0.62185,0.28599,0.707,0.0004522,0.0004522,0.0004522
168,7597.34,0.75095,0.35458,0.83027,0.95754,0.93756,0.97575,0.78611,0.619,0.31505,0.70713,0.0004489,0.0004489,0.0004489
169,7643.6,0.75463,0.35372,0.82962,0.95373,0.94179,0.97489,0.7859,0.61817,0.27806,0.70638,0.0004456,0.0004456,0.0004456
170,7687.9,0.7484,0.35372,0.82852,0.95106,0.94434,0.97299,0.78251,0.61734,0.30746,0.70617,0.0004423,0.0004423,0.0004423
171,7732.1,0.74763,0.35018,0.82864,0.95741,0.93631,0.97561,0.78312,0.62246,0.28789,0.70725,0.000439,0.000439,0.000439
172,7776.63,0.7617,0.35542,0.83123,0.95259,0.93868,0.97316,0.78298,0.62293,0.39904,0.70682,0.0004357,0.0004357,0.0004357
173,7823.15,0.73734,0.34516,0.83017,0.96439,0.94074,0.97762,0.78865,0.61456,0.39588,0.70605,0.0004324,0.0004324,0.0004324
174,7869.6,0.73999,0.34648,0.82912,0.95775,0.94239,0.97365,0.78019,0.62636,0.51547,0.70814,0.0004291,0.0004291,0.0004291
175,7914.5,0.75564,0.35264,0.82776,0.95829,0.93681,0.97526,0.7839,0.62446,0.565,0.70859,0.0004258,0.0004258,0.0004258
176,7959.9,0.74816,0.3478,0.8279,0.96235,0.9389,0.9758,0.78665,0.61932,0.8427,0.70626,0.0004225,0.0004225,0.0004225
177,8004.96,0.73454,0.34422,0.82727,0.9623,0.93762,0.97735,0.78872,0.61145,0.32511,0.70567,0.0004192,0.0004192,0.0004192
178,8052.56,0.74575,0.34518,0.82616,0.95701,0.9439,0.97735,0.7888,0.61328,0.56954,0.70541,0.0004159,0.0004159,0.0004159
